,city,lat,temp,humidity,cloudiness,windspeed
360,Toora-Khem,52.47,-8.22,69,48,3.24
361,Portland,45.52,55.04,48,40,17.22
362,Semirom,31.41,11.45,62,8,2.13
363,Serra Branca,-7.57,87.23,35,24,6.6
364,Kuito,-12.38,72.38,39,80,8.05
365,Lucea,18.44,82.4,69,75,19.46
366,Kathu,-27.7,70.63,22,0,9.28
367,Rostovka,55.02,-4.01,83,75,4.47
368,Kavaratti,10.57,81.61,100,0,6.38
369,Juneau,58.3,35.06,100,90,3.36
370,Half Moon Bay,37.46,62.96,64,40,8.84
371,Kenai,60.55,6.98,72,20,9.17
372,Pitimbu,-7.47,77.0,88,20,8.05
373,Omsukchan,62.53,-10.74,83,56,2.68
374,Dudinka,69.41,-29.41,48,76,24.16
375,San Quintin,17.54,61.58,82,0,2.57
376,Santiago de Cao,-7.96,77.0,78,75,12.75
377,Maxixe,-23.86,82.91,92,36,11.41
378,Narasannapeta,18.42,56.0,97,0,3.36
379,Lompoc,34.64,62.06,64,1,11.41
380,Anadyr,64.73,-11.21,63,0,13.42
381,Prachuap Khiri Khan,11.81,70.63,79,0,2.13
382,Victor Harbor,-35.55,62.6,59,20,5.82
383,Pringsewu,-5.36,72.43,96,36,2.13
384,Calama,-22.46,71.6,24,20,20.8
385,Oussouye,12.49,75.2,88,0,2.24
386,Sawtell,-30.38,75.2,73,0,8.05
387,Luanda,-8.83,78.8,83,75,4.7
388,Natal,-5.81,82.4,74,75,12.75
389,Turukhansk,65.8,-32.83,58,36,12.97
390,Cap Malheureux,-19.98,80.6,78,40,12.75
391,Puerto Escondido,15.86,86.0,62,20,11.41
392,Pevek,69.7,-21.58,64,0,4.47
393,Puertollano,38.69,26.62,75,0,2.68
394,Saint George,39.45,39.2,69,75,9.17
395,Atasu,48.68,9.38,81,68,9.95
396,Kununurra,-15.77,77.0,94,64,5.82
397,Hobyo,5.35,75.58,84,56,16.89
398,Kasangulu,-4.59,78.8,78,20,5.82
399,Chabahar,25.29,70.31,100,32,9.17
400,Edd,13.93,62.98,47,0,4.03
401,Saryg-Sep,51.49,-13.3,73,56,0.34
402,Chapais,49.78,1.4,70,90,8.05
403,Goderich,43.74,24.01,81,68,7.94
404,Saurimo,-9.66,70.54,82,64,3.47
405,Wanning,48.64,35.6,93,75,12.75
406,Morales,8.28,86.96,53,68,3.47
407,Derazhnya,49.27,24.82,90,56,11.18
408,Sitka,37.17,36.16,89,68,16.55
409,Ambon,47.55,48.2,100,90,5.82
410,Lethem,3.38,91.28,43,56,16.89
411,Vanimo,-2.67,80.03,100,64,12.75
412,Hovd,63.83,33.8,100,75,5.82
413,Oktyabrskoye,56.73,-25.61,74,0,2.24
414,Xinzhou,38.41,7.72,68,0,3.02
415,Maragogi,-9.01,76.43,97,88,8.16
416,Mayo,63.59,-9.41,83,90,2.24
417,Louis Trichardt,-23.04,75.44,66,24,4.92
418,Fort-Shevchenko,44.51,38.18,100,92,7.16
419,Basco,40.33,32.0,100,90,16.11
420,Badajoz,38.88,33.05,78,0,6.93
421,Torphichen,55.93,51.8,93,90,20.8
422,Klaeng,12.78,78.86,100,8,5.7
423,Adrar,27.87,46.4,36,0,13.87
424,Le Port,42.87,9.74,80,0,1.79
425,Tezu,27.93,49.79,54,0,1.9
426,Singapore,1.29,80.6,83,0,5.82
427,Tianpeng,28.88,39.94,100,88,5.7
428,Akureyri,65.68,32.0,95,90,9.17
429,Trogir,43.52,42.8,48,0,16.11
430,Mount Isa,-20.73,82.4,37,0,4.7
431,Westport,53.8,48.76,98,92,18.34
432,Jutai,-1.71,80.48,87,80,3.13
433,Stephenville,32.22,49.28,59,90,17.22
434,Cururupu,-1.82,81.34,73,0,6.6
435,Huarmey,-10.07,79.13,47,0,6.49
436,Port Hueneme,34.15,62.06,67,75,8.05
437,Monrovia,6.33,78.8,94,40,6.93
438,Fortuna Foothills,32.66,62.96,55,90,11.41
439,Sao Filipe,14.9,72.43,96,0,9.95
440,Talara,-4.58,62.6,290,0,17.22
441,Ellisras,-23.67,76.03,67,0,9.62
442,Srandakan,-7.94,72.29,98,76,2.57
443,Saint-Francois,46.42,41.0,93,90,10.29
444,Anshun,26.25,38.9,98,92,9.17
445,Nauta,-4.51,74.54,99,100,4.25
446,Saint Lawrence,36.06,46.4,70,40,17.22
447,Sanford,35.48,42.08,44,90,9.17
448,Kendari,-3.99,73.73,96,76,2.91
449,Antalaha,-14.9,77.06,94,24,1.9
450,Port Hardy,50.7,48.2,76,90,12.75
451,Solnechnyy,50.72,-22.93,34,12,2.13
452,Madang,-5.21,74.0,100,80,4.14
453,Rehoboth,-23.31,63.38,43,0,7.16
454,Tatarskaya Kargala,51.95,28.4,92,90,20.13
455,Kudahuvadhoo,2.67,80.39,100,80,8.95
456,Loncoche,-39.37,68.0,63,75,6.93
457,Deep River,46.1,10.4,46,1,4.7
458,Novobelokatay,55.7,24.05,89,88,8.61
459,Columbus,32.46,60.98,70,90,10.29
460,Dalianwan,39.03,33.8,86,0,8.95
461,Bandarbeyla,9.49,76.61,100,68,17.45
462,Champerico,16.38,89.6,33,20,11.41
463,Payo,-3.75,71.93,100,92,3.36
464,Cefalu,38.04,36.97,100,0,5.82
465,Gamboula,4.12,69.59,70,8,2.68
466,Bibiani,6.45,79.54,67,64,4.14
467,Isangel,-19.55,77.92,100,68,4.7
468,Plettenberg Bay,-34.05,65.09,100,0,7.16
469,Tromso,69.65,28.4,79,75,8.05
470,Maragheh,37.39,30.2,46,0,6.93
471,Porto Belo,-27.15,82.4,78,20,11.41
472,Ourem,39.64,42.8,87,0,3.36
473,Grindavik,63.84,33.8,100,75,5.82
474,Hambantota,6.12,78.14,100,92,11.18
475,Vila Franca do Campo,37.72,60.8,77,75,12.75
476,Kanye,-24.98,82.1,39,76,6.04
477,Kirakira,-10.46,80.98,100,88,5.82
478,Nanakuli,21.39,80.06,86,40,3.36
479,Sarahan,31.51,8.44,98,76,1.79
480,Shizuishan,39.02,-5.7,48,12,1.12
481,Paka,45.29,33.8,74,0,5.82
482,Linxia,35.6,-0.16,56,44,2.13
483,Prainha,-1.8,84.58,67,32,3.91
484,Luderitz,-26.65,61.81,93,36,5.59
485,Griffith,-34.29,86.0,39,0,9.95
486,Daniel Flores,9.34,64.33,87,92,1.34
487,Stanilesti,46.62,28.4,86,90,8.05
488,Mareeba,-16.99,77.0,78,40,8.05
489,Zhangye,38.94,4.25,65,0,6.15
490,Katobu,-4.94,80.39,100,68,5.14
491,Beterou,9.2,74.81,33,0,6.49
492,Maniitsoq,65.42,6.73,100,36,6.49
493,Smithers,54.78,33.8,100,90,2.24
494,Yatou,3.63,80.6,94,40,1.12
495,Drayton Valley,53.22,30.76,74,0,2.91
496,Shimsk,58.21,23.51,89,68,5.37
497,Emerald,-23.53,75.2,78,0,10.29
498,Lubana,0.23,60.41,84,36,1.01
499,Khani,41.96,44.6,78,40,8.05
500,Bose,45.46,33.8,69,0,2.24
501,Surovikino,48.61,21.31,90,32,9.28
502,Laguna,27.52,78.8,36,20,5.82
503,Lewiston,46.42,46.04,53,1,3.36
504,Canutama,-6.53,89.08,58,44,3.02
505,Santa Rosa,-36.62,77.0,69,20,17.22
506,Svetlogorsk,53.14,24.8,85,90,22.37
507,Labuhan,-2.54,73.33,97,68,1.68
508,Mega,4.06,64.87,26,0,10.51
509,Itarema,-2.92,77.02,93,68,4.59
510,Male,50.74,19.1,89,76,9.84
511,Dong Hoi,17.48,73.01,99,88,9.17
512,Chacabuco,-34.64,87.28,40,0,9.06
513,Marawi,8.0,65.77,100,48,2.24
514,Koindu,8.2,79.85,31,76,6.93
515,Noumea,-22.28,82.4,69,90,12.75
516,Beyneu,45.32,32.78,91,56,12.3
517,Plato,9.79,91.06,49,0,1.12
518,Guhagar,17.48,69.19,100,0,5.14
519,Muriti,-1.99,75.2,73,40,5.7
